flat ears,平耳
protruding ears,招风耳
wolf ears,狼耳
unicorn Ears,独角兽耳
antler ears,鹿角鹿耳
vampire ears,吸血鬼耳
beast ears,兽耳
mouse ears,老鼠耳
rabbit ears,兔耳
round eyes,圆眼
oval eyes,椭圆眼
almond eyes,长眼
bigeyes,大眼
small eyes,小眼
double eyelids,双眼皮
single eyelid,单眼皮
inner eyelid,内双
outer eyelid,外双
hooded eyelid,弯眼
dark circles,黑眼圈
eye bags,眼袋
puffy eyes,卧蚕
thin pupil,细瞳孔
long eyelashes,长睫毛
bright eyes,明亮眼睛
goatee,山羊胡
clean shaven,无胡须
mustache,八字胡
Long Beard,长胡子
beard,落腮胡
scruffy Beard,邋遢的胡子
sideburns,鬓角
fake beard,假胡子
W shaped beard,W型胡
vampire beard,吸血鬼胡
sideburns,中侧胡
pirates of the Caribbean mustache,加勒比海盗胡
super Mario beard,马力欧胡
arms behind back,手放在背后
hand on hip,单手插腰
hands on hips,双手插腰
armpits,举手露腋
shirt lift,掀起上衣
arms up,举手
arms behind head,手放脑后
open arms,打开双臂
skirt hold,拉起裙襬
stretch,伸懒腰
pray,祈祷
adjusting thighhigh,调整过膝袜
hair pull,拉头发
looking down,向下看
looking up,向上看
hand on chest salute,手放胸前敬礼
back straight,背挺直
M leg,M字腿
spread legs,张开腿
crossed_legs,腿交叉
erlang legs,二郎腿
leg lift,抬腿
legs up,举起双脚
sit cross legged,盘腿坐
bent over,翘臀
fetal position,"侧躺手脚弯曲, 婴儿姿势"
leaning forward,前倾
 against wall,靠墙
on stomach,趴着
squat,深蹲
squatting,蹲下
boxing,拳击
right hook,右钩拳
seiza,正坐
"w-sitting, wariza",W腿坐姿
yokozuwari,侧腿坐
sit sideways,侧坐
running?,跑
kneeling,跪
straddling,跨坐
caramelldansen,求解
fighting stance,战斗姿势
yoga pose,瑜珈姿势
sleeping,睡觉
bathing,洗澡
take a bath,泡澡
bathroom mirror reflection,浴室镜子倒影
sitting with tucked knees,抱膝坐着
sit on the chair,坐在椅子上
Double heart hands,双手爱心
show love with hands,手比爱心
hand by Guido Daniele,艺术家的手
hug gesture,拥抱手势
cat hand pose,猫手
finger gun,手指手枪
shushing,"嘘, 食指压唇"
thumbs up,"竖起大拇指, 赞"
salute,敬礼
spread arms,张开双臂
victory gesture,胜利手势
greeting gesture,打招呼手势
symmetrical hand pose,对称手势
Tutu,芭蕾舞伞裙
Arabesqe,阿拉贝斯克
fouette?,挥鞭转
grand ecart,大劈叉
Grand Jete,大跳
ballet attitude,鹤立
foahair curlers,泡棉发卷
wide Headband Hairstyle,宽发带
horns,兽角
dragon horns,龙角
devil horns,恶魔角
unicorn horn,独角兽角
tele ties Band,电话线发圈
tiara,皇冠
hair ribbon,发带
beret,贝雷帽
coolie hat,斗笠
bomber hat,轰炸机帽
top hat,圆顶礼帽
ball cap,棒球帽
newsboy cap,报童帽
beanie,毛帽
hairband,发箍
flower crown,花冠
sailor hat,水手帽
headscarf,头巾
bobby pin,黑毛夹
crystal hair accessories,水晶发饰
hairclip,发夹宽
hair claws,鲨鱼夹
scrunchies,大肠圈
forehead flower,前头花
chandelier earrings,吊坠耳环
stud earrings,耳钉
helmet,安全帽
freckle,雀斑
necklace,项链
choker,项圈
long necklace,长项链
short necklace,短项链
chain necklace,粗项链
collar necklace,颈圈
Jewelry necklace,珠宝项链
leash,牵绳
scarf,围巾
silk scarf,丝巾
tie,领带
bow tie,领结
brooch,胸针
sailor suit scarf,水手服领巾
wool scarf,羊毛围巾
silk scarf bow,丝巾蝴蝶结
ear covering headphones,耳罩式耳机
headphones around neck,耳机挂脖子上
id card,身分识别卡
bracelet,手镯
Hand chain,手炼
Ring,戒指
watch,手表
bangle,手环
wristband,护腕
elbow pads,护肘
leather gloves,皮手套
evening gloves,晚宴手套
hand tattoo,手部纹身
fingerless gloves,无指手套
sport gloves,运动手套
nail art,指甲彩绘
handbag,手提包
chest flower,胸花
chest tattoo,胸部刺青
backpack,后背包
satchel,肩背包
waist ring,腰环
navel ring,肚脐环
sling bag,单肩包
monocular camera,单眼相机
tote bag,帆布袋
waist bag,腰包
riding belt,骑行腰带
cinch belt,腰封
metal buckle belt,金属扣皮带
jingle bell,铃铛
weapon,武器
knife,刀
handgun,手枪
gun,枪
dagger,匕首
scythe,镰
whip,鞭子
riding crop,马鞭
wand,魔杖
arrow,箭
umbrella,伞
tray,托盘
bell,钟
lantern,灯笼
teacup,茶碗
cigarette,香烟
cake,蛋糕
taiyaki,鲷鱼烧
wine,葡萄酒
cream,奶油
ice_cream,冰淇淋
sake,清酒
guitar,吉他
piano,钢琴
lamp,灯
microphone,麦克风
 sword,剑
gothic outfit,哥德式
lolita fashion,罗莉塔
gothic lolita,歌德罗莉
big western cowboy style,大西部牛仔风
scottish style,苏格兰风
Japanese student uniform,日式学生服
german uniform,德式军服
suit,西装
british style outfit,英伦风
Milan style,米兰风
anime sailor suit,动漫水手服
miko clothing,日式巫女服
gyaru,辣妹
magical girl,魔法少女
Bohemian,波西米亚风
succubus,媚魔
vampire,吸血鬼
angel,天使
fox girl,狐娘
ship girl,舰娘
cyborg,电子人
dancer,舞者
wedding dress,婚纱
maid outfit,女仆
bartender,调酒师
 bare shoulders,裸肩
hoodie,连帽衣
t shirt,t恤
collared shirt,有领衬衫
jacket,夹克
sleeveless,无袖
spaghetti straps,细肩带
ribbed sweater,螺纹毛衣
loose sleeves,宽松的袖子
separated sleeves,分离的袖子
hooded capelet,连帽斗篷
capelet,斗篷
apron,围裙
lantern sleeve,灯笼袖
crop top,短版上衣
shoulder pads,垫肩
cropped jacket,短夹克
buruma,日本女性运动短裤
bloomers,灯笼裤
pleated skirt,百褶裙
miniskirt,迷你裙
sheath dress,包臀窄裙
short shorts,短裤
satin shorts,缎面短裤
long skirt,长裙
jeans,牛仔裤
cropped pants,七分裤
high waist pants,高腰裤
dolphin shorts,真理裤
hakama,裤裙
torn jeans,破牛仔裤
kimono,和服
bathrobe,浴衣
silk bodycon dress,缎面连身裙
backless bodycon dress,露背连身裙
overalls,吊带裤
overalls skirt,吊带裙
maternity clothes,孕妇装
pantyhose,裤袜
thighband pantyhose,大腿连裤袜
garter_belt,吊袜腰带
garter straps,吊袜带
socks,袜子
striped socks,条纹袜子
loose_socks,泡泡袜
skinny leather pants,紧身皮裤
black leggings,黑色紧身裤
fishnets,网袜
fishnet_stockings,渔网袜
fishnet pantyhose,渔网连裤袜
kneehighs,长袜
stockings,丝袜
thigh socks,大腿袜
torn thigh socks,破大腿袜
leg_garter,吊袜带
thigh strap,大腿带
legwear under shorts,短裤加紧身裤
over the knee boots,过膝长靴
bare feet,裸足
ankle boots,短靴
rain boots,雨靴
oxford boots,牛津鞋
platform heels,厚底高跟鞋
military boots,军靴
round toe heels,圆头高跟鞋
mule heels,穆勒鞋
pointed toe heels,尖头高跟鞋
sandal heels,高跟凉鞋
slippers,拖鞋
flip flops,夹脚拖
bubble Slippers,泡泡拖鞋
canvas shoes,帆布鞋
sneakers,球鞋
Indoor slippers,室内拖鞋
Skate shoes,板鞋
cardigan,"开襟衫,针织衫"
Leather Jacket,皮夹克
faux fur jacket,皮草外套
Parka,连帽军大衣
blazer jacket,西装外套
Coat,"长外套,大衣"
Denim Jacket,牛仔外套
Duffle Coat,"粗呢大衣,羊毛大衣"
long coat,"长版外套,长大衣"
Camouflage jacket,"迷彩外套,迷彩夹克"
Vest jacket,背心外套
army jacket,军外套
bikini,比基尼
Japanese student swimsuit,日本学生泳衣
side tie bikini,系带式比基尼
competition swimsuit,竞技式泳衣
surf swimsuit,冲浪泳衣
separate swimsuit,分离式泳衣
cross deep V one-piece swimsuit,十字交叉深V连身泳装
shoulder swimsuit,斜肩泳装
circle buckle tie bikini,圆形扣环系带比基尼
sequin paneled fringed bikini,亮片拼接流苏比基尼
swim skirt,泳裙
men's swimming briefs,男性三角泳裤
beach shorts,沙滩裤
men's competitive swimming trunks,男性竞技泳裤
no panties,没内裤
thong,丁字裤
white panties,白色内裤
reese panties,蕾丝内裤
low waist panties,低腰内裤
sexy panties,情趣内裤
high waist panties,高腰内裤
leather panties,皮内裤
briefs,三角裤
boxer,四角裤
tap pants,裙式内裤
T pants,T字裤
C word pants,C字裤
fundoshi,兜挡布
no bra,没胸罩
full coverage bra,全罩式胸罩
3/4 cup bra,3/4罩
1/2 cup bra,1/2罩
wireless bra,无钢圈胸罩
Push up bra,聚乳型胸罩
Plunge bra,V型胸罩
Bralette,背心型胸罩
sexy bra,情趣胸罩
leather bra,皮质胸罩
front button bra,前扣式内衣
upper body,上半身
chest,胸肌
armpits,腋窝
collarbone,锁骨
shoulders,肩膀
flat chest,平胸
huge_breasts,巨乳
big boobs,大胸
bouncing breasts,胸部晃动
nipples,乳头
areola slip,乳晕
cleavage,乳沟
midriff,露腰
belly button,肚脐
back muscles,背肌
hips,臀部
gluteal fold,臀沟
thigh gap,股沟
highleg,长腿
thick thighs,大腿粗
kneepits,膝盖后侧
barefoot,赤足
toes,脚趾
ass,屁股
calf,小腿
ankle,脚踝
hip bone,髋骨
anal,肛门
fit body,健美身材
hourglass figure,沙漏型身材
loli,罗莉
athletic,健硕
curvy,丰满
skinny,非常瘦
well-proportioned muscles,匀称的肌肉
obese,胖
broad shoulders,宽肩
Prominent bones,骨头突出的
curvy,魔鬼身材
full body,全身
good anatomy,好解剖学
nipples,乳头
nipple slip,乳头从上衣滑出
erect nipples,竖立的乳头
areola,乳晕
breast grab,别人抓自己乳房
breast hold,自己抓自己乳房
paizuri,乳交
bukkake,颜射
thigh sex,腿交
footjob,足交
masturbation,自慰
handjob,她人用手摸阴茎
fingering,用指摸弄
cum,射精
cunnilingus,舔阴
pussy juice,爱液
ass/oshiri/butt,屁股
ass grab,手抓着屁股
buttjob,臀交
anal,爆菊
enema,灌肠
bestiality,人兽
censored,"审核过的,有码,骑兵"
uncensored,"未审核的无码,步兵"
pussy/vulva,"阴户,逼,外阴"
penis,阴茎
dildo,人造阴茎
sex,性爱
fellatio,口交
bathing,洗澡
blood,血
bondage,"奴役,束缚,拘束"
extreme content,重口味
guro,猎奇
futanari,"双性,扶他"
gangbang,轮奸
lactation,哺乳
pee,"撒尿,小便"
pubic hair,阴毛
tentacles,触手
vibrator,"振动器,自慰棒,跳蛋"
cameltoe,"骆驼蹄,小穴被勒出的样子"
restrained,约束
fellatio,口
paizuri, 乳交
oral, 口交
missionary, 传教士
licking penis,舔鸡
erection, 直立交
felatio, 口交
breast grab, 抓胸
yuri,百合
netorare,NTR
filming,拍摄电影
mind control,洗脑
hypnosis,催眠
bdsm,绑缚调教
blowjob,口
bondage,奴役
group sex,多人群交
doggystyle,狗狗式趴
"sex_from_behind , ass_focus , on_backend_cum",后入
spread leg,"叉开腿,M字腿"
armpits,露出腋下
cum_in_mouth,口爆
condoms_in_mouth,含着套
cum_on_tongue,舔精
cum_on_facial,颜射
"straddling , girl_on_top",骑乘位
lying,"向前趴,躺下"
cum on breasts,精液在胸上
cum on body,精液在身体上
cum on upper body,上半身射精
pubic tattoo,阴部纹身
groin,腹股沟
skindentation,皮肤勒痕
"used condom,multiple condoms", 用过的避孕套
butt_plug,添加的尾巴
ball gag,口球
